phase,phase_num,phase_date,plan,exercise,exercise_normalized,settings,sets,reps,week,weight_kg,type,amrap,tr
Phase 9A,9,2025-08-25,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,4,6,2,15.0,1,,
Phase 9A,9,2025-08-25,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,4,6,3,16.0,1,,
Phase 9A,9,2025-08-25,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,4,6,4,17.0,1,,
Phase 9A,9,2025-08-25,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,4,6,5,18.0,1,,
Phase 9A,9,2025-08-25,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,4,6,6,19.0,1,,
Phase 10A,10,2025-10-13,A,Bankdrüken,Bankdrücken,v1 h1,3,6,1,14.0,1,,
Phase 10A,10,2025-10-13,A,Bankdrüken,Bankdrücken,v1 h1,3,6,2,15.0,1,,
Phase 10A,10,2025-10-13,A,Bankdrüken,Bankdrücken,v1 h1,3,6,3,16.0,1,,
Phase 10A,10,2025-10-13,A,Bankdrüken,Bankdrücken,v1 h1,3,6,4,17.0,1,,
Phase 10A,10,2025-10-13,A,Bankdrüken,Bankdrücken,v1 h1,3,6,5,18.0,1,,
Phase 10A,10,2025-10-13,A,Bankdrüken,Bankdrücken,v1 h1,3,6,6,19.0,1,,
Phase 10A,10,2025-10-13,A,Beinbeugen,Beinbeugen,,3,8,1,12.5,1,,
Phase 10A,10,2025-10-13,A,Beinbeugen,Beinbeugen,,3,8,2,13.75,1,,
Phase 10A,10,2025-10-13,A,Beinbeugen,Beinbeugen,,3,8,3,15.0,1,,
Phase 10A,10,2025-10-13,A,Beinbeugen,Beinbeugen,,3,8,4,16.25,1,,
Phase 10A,10,2025-10-13,A,Beinbeugen,Beinbeugen,,3,8,5,16.25,1,,
Phase 10A,10,2025-10-13,A,Beinbeugen,Beinbeugen,,3,8,6,17.5,1,,
Phase 10A,10,2025-10-13,A,Hammercurls,Hammercurls,,3,8,1,7.0,1,,
Phase 10A,10,2025-10-13,A,Hammercurls,Hammercurls,,3,8,2,7.5,1,,
Phase 10A,10,2025-10-13,A,Hammercurls,Hammercurls,,3,8,3,8.0,1,,
Phase 10A,10,2025-10-13,A,Hammercurls,Hammercurls,,3,8,4,8.5,1,,
Phase 10A,10,2025-10-13,A,Hammercurls,Hammercurls,,3,8,5,9.0,1,,
Phase 10A,10,2025-10-13,A,Hammercurls,Hammercurls,,3,8,6,9.5,1,,
Phase 10A,10,2025-10-13,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,3,6,1,50.0,1,,
Phase 10A,10,2025-10-13,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,3,6,2,55.0,1,,
Phase 10A,10,2025-10-13,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,3,6,3,57.5,1,,
Phase 10A,10,2025-10-13,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,3,6,4,60.0,1,,
Phase 10A,10,2025-10-13,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,3,6,5,62.5,1,,
Phase 10A,10,2025-10-13,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,3,6,6,65.0,1,,
Phase 10A,10,2025-10-13,A,Latzug,Latzug,,3,6,1,42.5,1,,
Phase 10A,10,2025-10-13,A,Latzug,Latzug,,3,6,2,45.0,1,,
Phase 10A,10,2025-10-13,A,Latzug,Latzug,,3,6,3,47.5,1,,
Phase 10A,10,2025-10-13,A,Latzug,Latzug,,3,6,4,50.0,1,,
Phase 10A,10,2025-10-13,A,Latzug,Latzug,,3,6,5,52.5,1,,
Phase 10A,10,2025-10-13,A,Latzug,Latzug,,3,6,6,55.0,1,,
Phase 10A,10,2025-10-13,A,Schulterdrücken stehend,Schulterdrücken stehend,,3,8,1,7.0,1,,
Phase 10A,10,2025-10-13,A,Schulterdrücken stehend,Schulterdrücken stehend,,3,8,2,7.5,1,,
Phase 10A,10,2025-10-13,A,Schulterdrücken stehend,Schulterdrücken stehend,,3,8,3,8.0,1,,
Phase 10A,10,2025-10-13,A,Schulterdrücken stehend,Schulterdrücken stehend,,3,8,4,8.5,1,,
Phase 10A,10,2025-10-13,A,Schulterdrücken stehend,Schulterdrücken stehend,,3,8,5,8.5,1,,
Phase 10A,10,2025-10-13,A,Schulterdrücken stehend,Schulterdrücken stehend,,3,8,6,9.0,1,,
Phase 10A,10,2025-10-13,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,3,8,1,11.0,1,,
Phase 10A,10,2025-10-13,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,3,8,2,12.0,1,,
Phase 10A,10,2025-10-13,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,3,8,3,13.0,1,,
Phase 10A,10,2025-10-13,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,3,8,4,14.0,1,,
Phase 10A,10,2025-10-13,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,3,8,5,14.0,1,,
Phase 10A,10,2025-10-13,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,3,8,6,15.0,1,,
Phase 10A,10,2025-10-13,B,Beinpresse,Beinpresse,u8 o4,3,6,1,90.0,2,,
Phase 10A,10,2025-10-13,B,Beinpresse,Beinpresse,u8 o4,3,6,2,100.0,2,,
Phase 10A,10,2025-10-13,B,Beinpresse,Beinpresse,u8 o4,3,6,3,110.0,2,,
Phase 10A,10,2025-10-13,B,Beinpresse,Beinpresse,u8 o4,3,6,4,115.0,2,,
Phase 10A,10,2025-10-13,B,Beinpresse,Beinpresse,u8 o4,3,6,5,120.0,2,,
Phase 10A,10,2025-10-13,B,Beinpresse,Beinpresse,u8 o4,3,6,6,125.0,2,,
Phase 10A,10,2025-10-13,B,Bizepscurls,Bizepscurls,,3,8,1,7.0,1,,
Phase 10A,10,2025-10-13,B,Bizepscurls,Bizepscurls,,3,8,2,7.5,1,,
Phase 10A,10,2025-10-13,B,Bizepscurls,Bizepscurls,,3,8,3,8.0,1,,
Phase 10A,10,2025-10-13,B,Bizepscurls,Bizepscurls,,3,8,4,8.5,1,,
Phase 10A,10,2025-10-13,B,Bizepscurls,Bizepscurls,,3,8,5,9.0,1,,
Phase 10A,10,2025-10-13,B,Bizepscurls,Bizepscurls,,3,8,6,9.5,1,,
Phase 10A,10,2025-10-13,B,Butterfly reverse,Butterfly reverse,pos. 9,3,8,1,7.0,1,,
Phase 10A,10,2025-10-13,B,Butterfly reverse,Butterfly reverse,pos. 9,3,8,2,7.0,1,,
Phase 10A,10,2025-10-13,B,Butterfly reverse,Butterfly reverse,pos. 9,3,8,3,8.0,1,,
Phase 10A,10,2025-10-13,B,Butterfly reverse,Butterfly reverse,pos. 9,3,8,4,8.0,1,,
Phase 10A,10,2025-10-13,B,Butterfly reverse,Butterfly reverse,pos. 9,3,8,5,9.0,1,,
Phase 10A,10,2025-10-13,B,Butterfly reverse,Butterfly reverse,pos. 9,3,8,6,9.0,1,,
Phase 10A,10,2025-10-13,B,Kickbacks,Kickbacks,v3 h1,3,8,1,5.0,1,,
Phase 10A,10,2025-10-13,B,Kickbacks,Kickbacks,v3 h1,3,8,2,5.5,1,,
Phase 10A,10,2025-10-13,B,Kickbacks,Kickbacks,v3 h1,3,8,3,5.5,1,,
Phase 10A,10,2025-10-13,B,Kickbacks,Kickbacks,v3 h1,3,8,4,6.0,1,,
Phase 10A,10,2025-10-13,B,Kickbacks,Kickbacks,v3 h1,3,8,5,6.0,1,,
Phase 10A,10,2025-10-13,B,Kickbacks,Kickbacks,v3 h1,3,8,6,6.5,1,,
Phase 10A,10,2025-10-13,B,Kreuzheben KH,Kreuzheben KH,,3,8,1,20.0,2,,
Phase 10A,10,2025-10-13,B,Kreuzheben KH,Kreuzheben KH,,3,8,2,21.0,2,,
Phase 10A,10,2025-10-13,B,Kreuzheben KH,Kreuzheben KH,,3,8,3,22.5,2,,
Phase 10A,10,2025-10-13,B,Kreuzheben KH,Kreuzheben KH,,3,8,4,23.5,2,,
Phase 10A,10,2025-10-13,B,Kreuzheben KH,Kreuzheben KH,,3,8,5,23.5,2,,
Phase 10A,10,2025-10-13,B,Kreuzheben KH,Kreuzheben KH,,3,8,6,25.0,2,,
Phase 10A,10,2025-10-13,B,Rudern,Rudern,,3,6,1,35.0,1,,
Phase 10A,10,2025-10-13,B,Rudern,Rudern,,3,6,2,37.5,1,,
Phase 10A,10,2025-10-13,B,Rudern,Rudern,,3,6,3,40.0,1,,
Phase 10A,10,2025-10-13,B,Rudern,Rudern,,3,6,4,42.5,1,,
Phase 10A,10,2025-10-13,B,Rudern,Rudern,,3,6,5,42.5,1,,
Phase 10A,10,2025-10-13,B,Rudern,Rudern,,3,6,6,45.0,1,,
Phase 10A,10,2025-10-13,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,3,6,1,14.0,1,,
Phase 10A,10,2025-10-13,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,3,6,2,15.0,1,,
Phase 10A,10,2025-10-13,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,3,6,3,16.0,1,,
Phase 10A,10,2025-10-13,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,3,6,4,17.0,1,,
Phase 10A,10,2025-10-13,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,3,6,5,18.0,1,,
Phase 10A,10,2025-10-13,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,3,6,6,19.0,1,,
Phase 11A,11,2025-12-01,A,Bankdrüken,Bankdrücken,v1 h1,3,6,1,14.0,1,,
Phase 11A,11,2025-12-01,A,Bankdrüken,Bankdrücken,v1 h1,3,6,2,15.0,1,,
Phase 11A,11,2025-12-01,A,Bankdrüken,Bankdrücken,v1 h1,3,6,3,16.0,1,,
Phase 11A,11,2025-12-01,A,Bankdrüken,Bankdrücken,v1 h1,3,6,4,17.0,1,,
Phase 11A,11,2025-12-01,A,Bankdrüken,Bankdrücken,v1 h1,3,6,5,18.0,1,,
Phase 11A,11,2025-12-01,A,Bankdrüken,Bankdrücken,v1 h1,3,6,6,19.0,1,,
Phase 11A,11,2025-12-01,A,Beinbeugen,Beinbeugen,,3,8,1,12.5,1,,
Phase 11A,11,2025-12-01,A,Beinbeugen,Beinbeugen,,3,8,2,13.75,1,,
Phase 11A,11,2025-12-01,A,Beinbeugen,Beinbeugen,,3,8,3,15.0,1,,
Phase 11A,11,2025-12-01,A,Beinbeugen,Beinbeugen,,3,8,4,16.25,1,,
Phase 11A,11,2025-12-01,A,Beinbeugen,Beinbeugen,,3,8,5,16.25,1,,
Phase 11A,11,2025-12-01,A,Beinbeugen,Beinbeugen,,3,8,6,17.5,1,,
Phase 11A,11,2025-12-01,A,Hammercurls,Hammercurls,,3,8,1,7.0,1,,
Phase 11A,11,2025-12-01,A,Hammercurls,Hammercurls,,3,8,2,7.5,1,,
Phase 11A,11,2025-12-01,A,Hammercurls,Hammercurls,,3,8,3,8.0,1,,
Phase 11A,11,2025-12-01,A,Hammercurls,Hammercurls,,3,8,4,8.5,1,,
Phase 11A,11,2025-12-01,A,Hammercurls,Hammercurls,,3,8,5,9.0,1,,
Phase 11A,11,2025-12-01,A,Hammercurls,Hammercurls,,3,8,6,9.5,1,,
Phase 11A,11,2025-12-01,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,3,6,1,55.0,1,,
Phase 11A,11,2025-12-01,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,3,6,2,60.0,1,,
Phase 11A,11,2025-12-01,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,3,6,3,62.5,1,,
Phase 11A,11,2025-12-01,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,3,6,4,65.0,1,,
Phase 11A,11,2025-12-01,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,3,6,5,67.5,1,,
Phase 11A,11,2025-12-01,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,3,6,6,70.0,1,,
Phase 11A,11,2025-12-01,A,Latzug,Latzug,,3,6,1,45.0,1,,
Phase 11A,11,2025-12-01,A,Latzug,Latzug,,3,6,2,47.5,1,,
Phase 11A,11,2025-12-01,A,Latzug,Latzug,,3,6,3,50.0,1,,
Phase 11A,11,2025-12-01,A,Latzug,Latzug,,3,6,4,52.5,1,,
Phase 11A,11,2025-12-01,A,Latzug,Latzug,,3,6,5,55.0,1,,
Phase 11A,11,2025-12-01,A,Latzug,Latzug,,3,6,6,57.5,1,,
Phase 11A,11,2025-12-01,A,Schulterdrücken stehend,Schulterdrücken stehend,,3,8,1,7.0,1,,
Phase 11A,11,2025-12-01,A,Schulterdrücken stehend,Schulterdrücken stehend,,3,8,2,7.5,1,,
Phase 11A,11,2025-12-01,A,Schulterdrücken stehend,Schulterdrücken stehend,,3,8,3,8.0,1,,
Phase 11A,11,2025-12-01,A,Schulterdrücken stehend,Schulterdrücken stehend,,3,8,4,8.5,1,,
Phase 11A,11,2025-12-01,A,Schulterdrücken stehend,Schulterdrücken stehend,,3,8,5,9.0,1,,
Phase 11A,11,2025-12-01,A,Schulterdrücken stehend,Schulterdrücken stehend,,3,8,6,9.5,1,,
Phase 11A,11,2025-12-01,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,3,8,1,11.0,1,,
Phase 11A,11,2025-12-01,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,3,8,2,12.0,1,,
Phase 11A,11,2025-12-01,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,3,8,3,13.0,1,,
Phase 11A,11,2025-12-01,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,3,8,4,14.0,1,,
Phase 11A,11,2025-12-01,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,3,8,5,14.0,1,,
Phase 11A,11,2025-12-01,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,3,8,6,15.0,1,,
Phase 11A,11,2025-12-01,B,Beinpresse,Beinpresse,u8 o4,3,6,1,100.0,2,,
Phase 11A,11,2025-12-01,B,Beinpresse,Beinpresse,u8 o4,3,6,2,110.0,2,,
Phase 11A,11,2025-12-01,B,Beinpresse,Beinpresse,u8 o4,3,6,3,115.0,2,,
Phase 11A,11,2025-12-01,B,Beinpresse,Beinpresse,u8 o4,3,6,4,120.0,2,,
Phase 11A,11,2025-12-01,B,Beinpresse,Beinpresse,u8 o4,3,6,5,125.0,2,,
Phase 11A,11,2025-12-01,B,Beinpresse,Beinpresse,u8 o4,3,6,6,130.0,2,,
Phase 11A,11,2025-12-01,B,Bizepscurls,Bizepscurls,,3,8,1,7.0,1,,
Phase 11A,11,2025-12-01,B,Bizepscurls,Bizepscurls,,3,8,2,7.5,1,,
Phase 11A,11,2025-12-01,B,Bizepscurls,Bizepscurls,,3,8,3,8.0,1,,
Phase 11A,11,2025-12-01,B,Bizepscurls,Bizepscurls,,3,8,4,8.5,1,,
Phase 11A,11,2025-12-01,B,Bizepscurls,Bizepscurls,,3,8,5,9.0,1,,
Phase 11A,11,2025-12-01,B,Bizepscurls,Bizepscurls,,3,8,6,9.5,1,,
Phase 11A,11,2025-12-01,B,Butterfly reverse,Butterfly reverse,pos. 9,3,8,1,7.0,1,,
Phase 11A,11,2025-12-01,B,Butterfly reverse,Butterfly reverse,pos. 9,3,8,2,7.0,1,,
Phase 11A,11,2025-12-01,B,Butterfly reverse,Butterfly reverse,pos. 9,3,8,3,8.0,1,,
Phase 11A,11,2025-12-01,B,Butterfly reverse,Butterfly reverse,pos. 9,3,8,4,8.0,1,,
Phase 11A,11,2025-12-01,B,Butterfly reverse,Butterfly reverse,pos. 9,3,8,5,9.0,1,,
Phase 11A,11,2025-12-01,B,Butterfly reverse,Butterfly reverse,pos. 9,3,8,6,9.0,1,,
Phase 11A,11,2025-12-01,B,Kickbacks,Kickbacks,v3 h1,3,8,1,5.0,1,,
Phase 11A,11,2025-12-01,B,Kickbacks,Kickbacks,v3 h1,3,8,2,5.5,1,,
Phase 11A,11,2025-12-01,B,Kickbacks,Kickbacks,v3 h1,3,8,3,5.5,1,,
Phase 11A,11,2025-12-01,B,Kickbacks,Kickbacks,v3 h1,3,8,4,6.0,1,,
Phase 11A,11,2025-12-01,B,Kickbacks,Kickbacks,v3 h1,3,8,5,6.0,1,,
Phase 11A,11,2025-12-01,B,Kickbacks,Kickbacks,v3 h1,3,8,6,6.5,1,,
Phase 11A,11,2025-12-01,B,Kreuzheben KH,Kreuzheben KH,,3,8,1,21.0,2,,
Phase 11A,11,2025-12-01,B,Kreuzheben KH,Kreuzheben KH,,3,8,2,22.5,2,,
Phase 11A,11,2025-12-01,B,Kreuzheben KH,Kreuzheben KH,,3,8,3,23.5,2,,
Phase 11A,11,2025-12-01,B,Kreuzheben KH,Kreuzheben KH,,3,8,4,25.0,2,,
Phase 11A,11,2025-12-01,B,Kreuzheben KH,Kreuzheben KH,,3,8,5,25.0,2,,
Phase 11A,11,2025-12-01,B,Kreuzheben KH,Kreuzheben KH,,3,8,6,26.0,2,,
Phase 11A,11,2025-12-01,B,Rudern,Rudern,,3,6,1,37.5,1,,
Phase 11A,11,2025-12-01,B,Rudern,Rudern,,3,6,2,40.0,1,,
Phase 11A,11,2025-12-01,B,Rudern,Rudern,,3,6,3,42.5,1,,
Phase 11A,11,2025-12-01,B,Rudern,Rudern,,3,6,4,45.0,1,,
Phase 11A,11,2025-12-01,B,Rudern,Rudern,,3,6,5,45.0,1,,
Phase 11A,11,2025-12-01,B,Rudern,Rudern,,3,6,6,47.5,1,,
Phase 11A,11,2025-12-01,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,3,6,1,14.0,1,,
Phase 11A,11,2025-12-01,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,3,6,2,15.0,1,,
Phase 11A,11,2025-12-01,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,3,6,3,16.0,1,,
Phase 11A,11,2025-12-01,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,3,6,4,17.0,1,,
Phase 11A,11,2025-12-01,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,3,6,5,18.0,1,,
Phase 11A,11,2025-12-01,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,3,6,6,19.0,1,,
Phase 12A,12,2026-02-02,A,Bankdrüken,Bankdrücken,v1 h1,3,6,1,16.0,1,,
Phase 12A,12,2026-02-02,A,Bankdrüken,Bankdrücken,v1 h1,3,6,2,17.0,1,,
Phase 12A,12,2026-02-02,A,Bankdrüken,Bankdrücken,v1 h1,3,6,3,18.0,1,,
Phase 12A,12,2026-02-02,A,Bankdrüken,Bankdrücken,v1 h1,3,6,4,19.0,1,,
Phase 12A,12,2026-02-02,A,Bankdrüken,Bankdrücken,v1 h1,3,6,5,19.0,1,,
Phase 12A,12,2026-02-02,A,Bankdrüken,Bankdrücken,v1 h1,3,6,6,20.0,1,,
Phase 12A,12,2026-02-02,A,Beinbeugen,Beinbeugen,,3,8,1,13.75,1,,
Phase 12A,12,2026-02-02,A,Beinbeugen,Beinbeugen,,3,8,2,15.0,1,,
Phase 12A,12,2026-02-02,A,Beinbeugen,Beinbeugen,,3,8,3,16.25,1,,
Phase 12A,12,2026-02-02,A,Beinbeugen,Beinbeugen,,3,8,4,17.5,1,,
Phase 12A,12,2026-02-02,A,Beinbeugen,Beinbeugen,,3,8,5,17.5,1,,
Phase 12A,12,2026-02-02,A,Beinbeugen,Beinbeugen,,3,8,6,18.75,1,,
Phase 12A,12,2026-02-02,A,Hammercurls,Hammercurls,,3,8,1,7.0,1,,
Phase 12A,12,2026-02-02,A,Hammercurls,Hammercurls,,3,8,2,7.5,1,,
Phase 12A,12,2026-02-02,A,Hammercurls,Hammercurls,,3,8,3,8.0,1,,
Phase 12A,12,2026-02-02,A,Hammercurls,Hammercurls,,3,8,4,8.5,1,,
Phase 12A,12,2026-02-02,A,Hammercurls,Hammercurls,,3,8,5,9.0,1,,
Phase 12A,12,2026-02-02,A,Hammercurls,Hammercurls,,3,8,6,9.5,1,,
Phase 12A,12,2026-02-02,A,Kniebeugen,Kniebeuge Maschine,mitte,3,6,1,55.0,1,,
Phase 12A,12,2026-02-02,A,Kniebeugen,Kniebeuge Maschine,mitte,3,6,2,60.0,1,,
Phase 12A,12,2026-02-02,A,Kniebeugen,Kniebeuge Maschine,mitte,3,6,3,62.5,1,,
Phase 12A,12,2026-02-02,A,Kniebeugen,Kniebeuge Maschine,mitte,3,6,4,65.0,1,,
Phase 12A,12,2026-02-02,A,Kniebeugen,Kniebeuge Maschine,mitte,3,6,5,67.5,1,,
Phase 12A,12,2026-02-02,A,Kniebeugen,Kniebeuge Maschine,mitte,3,6,6,70.0,1,,
Phase 12A,12,2026-02-02,A,Latzug,Latzug,,4,6,1,45.0,1,,
Phase 12A,12,2026-02-02,A,Latzug,Latzug,,4,6,2,47.5,1,,
Phase 12A,12,2026-02-02,A,Latzug,Latzug,,4,6,3,50.0,1,,
Phase 12A,12,2026-02-02,A,Latzug,Latzug,,4,6,4,52.5,1,,
Phase 12A,12,2026-02-02,A,Latzug,Latzug,,4,6,5,55.0,1,,
Phase 12A,12,2026-02-02,A,Latzug,Latzug,,4,6,6,57.5,1,,
Phase 12A,12,2026-02-02,A,Schulterdrücken stehend,Schulterdrücken stehend,,3,8,1,7.0,1,,
Phase 12A,12,2026-02-02,A,Schulterdrücken stehend,Schulterdrücken stehend,,3,8,2,7.5,1,,
Phase 12A,12,2026-02-02,A,Schulterdrücken stehend,Schulterdrücken stehend,,3,8,3,8.0,1,,
Phase 12A,12,2026-02-02,A,Schulterdrücken stehend,Schulterdrücken stehend,,3,8,4,8.5,1,,
Phase 12A,12,2026-02-02,A,Schulterdrücken stehend,Schulterdrücken stehend,,3,8,5,9.0,1,,
Phase 12A,12,2026-02-02,A,Schulterdrücken stehend,Schulterdrücken stehend,,3,8,6,9.5,1,,
Phase 12A,12,2026-02-02,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,3,8,1,11.0,1,,
Phase 12A,12,2026-02-02,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,3,8,2,12.0,1,,
Phase 12A,12,2026-02-02,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,3,8,3,13.0,1,,
Phase 12A,12,2026-02-02,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,3,8,4,14.0,1,,
Phase 12A,12,2026-02-02,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,3,8,5,14.0,1,,
Phase 12A,12,2026-02-02,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,pos. 3,3,8,6,15.0,1,,
Phase 12A,12,2026-02-02,B,Beinpresse,Beinpresse,u8 o4,3,6,1,105.0,1,,
Phase 12A,12,2026-02-02,B,Beinpresse,Beinpresse,u8 o4,3,6,2,115.0,1,,
Phase 12A,12,2026-02-02,B,Beinpresse,Beinpresse,u8 o4,3,6,3,120.0,1,,
Phase 12A,12,2026-02-02,B,Beinpresse,Beinpresse,u8 o4,3,6,4,125.0,1,,
Phase 12A,12,2026-02-02,B,Beinpresse,Beinpresse,u8 o4,3,6,5,130.0,1,,
Phase 12A,12,2026-02-02,B,Beinpresse,Beinpresse,u8 o4,3,6,6,135.0,1,,
Phase 12A,12,2026-02-02,B,Bizepscurls,Bizepscurls,,3,8,1,7.0,1,,
Phase 12A,12,2026-02-02,B,Bizepscurls,Bizepscurls,,3,8,2,7.5,1,,
Phase 12A,12,2026-02-02,B,Bizepscurls,Bizepscurls,,3,8,3,8.0,1,,
Phase 12A,12,2026-02-02,B,Bizepscurls,Bizepscurls,,3,8,4,8.5,1,,
Phase 12A,12,2026-02-02,B,Bizepscurls,Bizepscurls,,3,8,5,9.0,1,,
Phase 12A,12,2026-02-02,B,Bizepscurls,Bizepscurls,,3,8,6,9.5,1,,
Phase 12A,12,2026-02-02,B,Butterfly reverse,Butterfly reverse,pos. 9,3,8,1,7.0,1,,
Phase 12A,12,2026-02-02,B,Butterfly reverse,Butterfly reverse,pos. 9,3,8,2,7.0,1,,
Phase 12A,12,2026-02-02,B,Butterfly reverse,Butterfly reverse,pos. 9,3,8,3,8.0,1,,
Phase 12A,12,2026-02-02,B,Butterfly reverse,Butterfly reverse,pos. 9,3,8,4,8.0,1,,
Phase 12A,12,2026-02-02,B,Butterfly reverse,Butterfly reverse,pos. 9,3,8,5,9.0,1,,
Phase 12A,12,2026-02-02,B,Butterfly reverse,Butterfly reverse,pos. 9,3,8,6,9.0,1,,
Phase 12A,12,2026-02-02,B,Kreuzheben KH,Kreuzheben KH,,3,8,1,22.5,2,,
Phase 12A,12,2026-02-02,B,Kreuzheben KH,Kreuzheben KH,,3,8,2,23.5,2,,
Phase 12A,12,2026-02-02,B,Kreuzheben KH,Kreuzheben KH,,3,8,3,25.0,2,,
Phase 12A,12,2026-02-02,B,Kreuzheben KH,Kreuzheben KH,,3,8,4,26.0,2,,
Phase 12A,12,2026-02-02,B,Kreuzheben KH,Kreuzheben KH,,3,8,5,26.0,2,,
Phase 12A,12,2026-02-02,B,Kreuzheben KH,Kreuzheben KH,,3,8,6,27.5,2,,
Phase 12A,12,2026-02-02,B,Rudern,Rudern,,4,6,1,37.5,2,,
Phase 12A,12,2026-02-02,B,Rudern,Rudern,,4,6,2,40.0,2,,
Phase 12A,12,2026-02-02,B,Rudern,Rudern,,4,6,3,42.5,2,,
Phase 12A,12,2026-02-02,B,Rudern,Rudern,,4,6,4,45.0,2,,
Phase 12A,12,2026-02-02,B,Rudern,Rudern,,4,6,5,45.0,2,,
Phase 12A,12,2026-02-02,B,Rudern,Rudern,,4,6,6,47.5,2,,
Phase 12A,12,2026-02-02,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,3,6,1,14.0,1,,
Phase 12A,12,2026-02-02,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,3,6,2,15.0,1,,
Phase 12A,12,2026-02-02,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,3,6,3,16.0,1,,
Phase 12A,12,2026-02-02,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,3,6,4,17.0,1,,
Phase 12A,12,2026-02-02,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,3,6,5,18.0,1,,
Phase 12A,12,2026-02-02,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,3,6,6,19.0,1,,
Phase 12A,12,2026-02-02,B,Trizepsdrücken liegend,Trizepsdrücken liegend,v2 h2,3,8,1,,1,,
Phase 12A,12,2026-02-02,B,Trizepsdrücken liegend,Trizepsdrücken liegend,v2 h2,3,8,2,,1,,
Phase 12A,12,2026-02-02,B,Trizepsdrücken liegend,Trizepsdrücken liegend,v2 h2,3,8,3,,1,,
Phase 12A,12,2026-02-02,B,Trizepsdrücken liegend,Trizepsdrücken liegend,v2 h2,3,8,4,,1,,
Phase 12A,12,2026-02-02,B,Trizepsdrücken liegend,Trizepsdrücken liegend,v2 h2,3,8,5,,1,,
Phase 12A,12,2026-02-02,B,Trizepsdrücken liegend,Trizepsdrücken liegend,v2 h2,3,8,6,,1,,
