phase,phase_num,phase_date,plan,exercise,exercise_normalized,settings,sets,reps,week,weight_kg,type,amrap,tr
Phase 4,4,2025-01-20,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,10,3,11.5,1,,
Phase 4,4,2025-01-20,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,10,4,12.0,1,,
Phase 4,4,2025-01-20,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,10,5,12.5,1,,
Phase 4,4,2025-01-20,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,10,6,13.0,1,,
Phase 5,5,2025-03-03,A,Bankdrücken,Bankdrücken,v1 h1,,8,1,12.0,1,,
Phase 5,5,2025-03-03,A,Bankdrücken,Bankdrücken,v1 h1,,8,2,13.0,1,,
Phase 5,5,2025-03-03,A,Bankdrücken,Bankdrücken,v1 h1,,8,3,13.5,1,,
Phase 5,5,2025-03-03,A,Bankdrücken,Bankdrücken,v1 h1,,8,4,14.0,1,,
Phase 5,5,2025-03-03,A,Bankdrücken,Bankdrücken,v1 h1,,8,5,14.5,1,,
Phase 5,5,2025-03-03,A,Bankdrücken,Bankdrücken,v1 h1,,8,6,15.0,1,,
Phase 5,5,2025-03-03,A,Beinbeugen,Beinbeugen,,,8,1,11.25,1,,
Phase 5,5,2025-03-03,A,Beinbeugen,Beinbeugen,,,8,2,12.5,1,,
Phase 5,5,2025-03-03,A,Beinbeugen,Beinbeugen,,,8,3,12.5,1,,
Phase 5,5,2025-03-03,A,Beinbeugen,Beinbeugen,,,8,4,13.75,1,,
Phase 5,5,2025-03-03,A,Beinbeugen,Beinbeugen,,,8,5,13.75,1,,
Phase 5,5,2025-03-03,A,Beinbeugen,Beinbeugen,,,8,6,15.0,1,,
Phase 5,5,2025-03-03,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,,8,1,32.5,2,,
Phase 5,5,2025-03-03,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,,8,2,35.0,2,,
Phase 5,5,2025-03-03,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,,8,3,37.5,2,,
Phase 5,5,2025-03-03,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,,8,4,40.0,2,,
Phase 5,5,2025-03-03,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,,8,5,40.0,2,,
Phase 5,5,2025-03-03,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,,8,6,42.5,2,,
Phase 5,5,2025-03-03,A,Latzug,Latzug,,,8,1,37.5,1,,
Phase 5,5,2025-03-03,A,Latzug,Latzug,,,8,2,40.0,1,,
Phase 5,5,2025-03-03,A,Latzug,Latzug,,,8,3,40.0,1,,
Phase 5,5,2025-03-03,A,Latzug,Latzug,,,8,4,42.5,1,,
Phase 5,5,2025-03-03,A,Latzug,Latzug,,,8,5,42.5,1,,
Phase 5,5,2025-03-03,A,Latzug,Latzug,,,8,6,45.0,1,,
Phase 5,5,2025-03-03,A,Schulterdrücken stehend,Schulterdrücken stehend,,,8,1,4.5,1,,
Phase 5,5,2025-03-03,A,Schulterdrücken stehend,Schulterdrücken stehend,,,8,2,5.0,1,,
Phase 5,5,2025-03-03,A,Schulterdrücken stehend,Schulterdrücken stehend,,,8,3,5.0,1,,
Phase 5,5,2025-03-03,A,Schulterdrücken stehend,Schulterdrücken stehend,,,8,4,5.5,1,,
Phase 5,5,2025-03-03,A,Schulterdrücken stehend,Schulterdrücken stehend,,,8,5,5.5,1,,
Phase 5,5,2025-03-03,A,Schulterdrücken stehend,Schulterdrücken stehend,,,8,6,6.0,1,,
Phase 5,5,2025-03-03,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,Pos. 3,,8,1,9.0,1,,
Phase 5,5,2025-03-03,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,Pos. 3,,8,2,9.0,1,,
Phase 5,5,2025-03-03,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,Pos. 3,,8,3,10.0,1,,
Phase 5,5,2025-03-03,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,Pos. 3,,8,4,10.0,1,,
Phase 5,5,2025-03-03,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,Pos. 3,,8,5,11.0,1,,
Phase 5,5,2025-03-03,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,Pos. 3,,8,6,11.0,1,,
Phase 5,5,2025-03-03,B,Beinpresse,Beinpresse,u8 o4,,8,1,80.0,2,,
Phase 5,5,2025-03-03,B,Beinpresse,Beinpresse,u8 o4,,8,2,85.0,2,,
Phase 5,5,2025-03-03,B,Beinpresse,Beinpresse,u8 o4,,8,3,90.0,2,,
Phase 5,5,2025-03-03,B,Beinpresse,Beinpresse,u8 o4,,8,4,95.0,2,,
Phase 5,5,2025-03-03,B,Beinpresse,Beinpresse,u8 o4,,8,5,100.0,2,,
Phase 5,5,2025-03-03,B,Beinpresse,Beinpresse,u8 o4,,8,6,105.0,2,,
Phase 5,5,2025-03-03,B,Bizepscurls,Bizepscurls,,,8,1,5.0,1,,
Phase 5,5,2025-03-03,B,Bizepscurls,Bizepscurls,,,8,2,5.5,1,,
Phase 5,5,2025-03-03,B,Bizepscurls,Bizepscurls,,,8,3,6.0,1,,
Phase 5,5,2025-03-03,B,Bizepscurls,Bizepscurls,,,8,4,6.5,1,,
Phase 5,5,2025-03-03,B,Bizepscurls,Bizepscurls,,,8,5,7.0,1,,
Phase 5,5,2025-03-03,B,Bizepscurls,Bizepscurls,,,8,6,7.5,1,,
Phase 5,5,2025-03-03,B,Butterfly reverse,Butterfly reverse,Pos. 9,,8,1,5.0,1,,
Phase 5,5,2025-03-03,B,Butterfly reverse,Butterfly reverse,Pos. 9,,8,2,5.0,1,,
Phase 5,5,2025-03-03,B,Butterfly reverse,Butterfly reverse,Pos. 9,,8,3,6.0,1,,
Phase 5,5,2025-03-03,B,Butterfly reverse,Butterfly reverse,Pos. 9,,8,4,6.0,1,,
Phase 5,5,2025-03-03,B,Butterfly reverse,Butterfly reverse,Pos. 9,,8,5,7.0,1,,
Phase 5,5,2025-03-03,B,Butterfly reverse,Butterfly reverse,Pos. 9,,8,6,7.0,1,,
Phase 5,5,2025-03-03,B,Kreuzheben KH,Kreuzheben KH,,,8,1,13.0,2,,
Phase 5,5,2025-03-03,B,Kreuzheben KH,Kreuzheben KH,,,8,2,14.0,2,,
Phase 5,5,2025-03-03,B,Kreuzheben KH,Kreuzheben KH,,,8,3,15.0,2,,
Phase 5,5,2025-03-03,B,Kreuzheben KH,Kreuzheben KH,,,8,4,16.0,2,,
Phase 5,5,2025-03-03,B,Kreuzheben KH,Kreuzheben KH,,,8,5,16.0,2,,
Phase 5,5,2025-03-03,B,Kreuzheben KH,Kreuzheben KH,,,8,6,17.0,2,,
Phase 5,5,2025-03-03,B,Rudern,Rudern,,,8,1,27.5,1,,
Phase 5,5,2025-03-03,B,Rudern,Rudern,,,8,2,30.0,1,,
Phase 5,5,2025-03-03,B,Rudern,Rudern,,,8,3,32.5,1,,
Phase 5,5,2025-03-03,B,Rudern,Rudern,,,8,4,35.0,1,,
Phase 5,5,2025-03-03,B,Rudern,Rudern,,,8,5,35.0,1,,
Phase 5,5,2025-03-03,B,Rudern,Rudern,,,8,6,37.5,1,,
Phase 5,5,2025-03-03,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,8,1,12.0,1,,
Phase 5,5,2025-03-03,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,8,2,13.0,1,,
Phase 5,5,2025-03-03,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,8,3,13.5,1,,
Phase 5,5,2025-03-03,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,8,4,14.0,1,,
Phase 5,5,2025-03-03,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,8,5,14.5,1,,
Phase 5,5,2025-03-03,B,Schrägbankdrücken,Schrägbankdrücken,v2 h3,,8,6,15.0,1,,
Phase 6A,6,2025-04-14,A,Bankdrücken,Bankdrücken,v1 h1,,8,1,12.0,1,,
Phase 6A,6,2025-04-14,A,Bankdrücken,Bankdrücken,v1 h1,,8,2,13.0,1,,
Phase 6A,6,2025-04-14,A,Bankdrücken,Bankdrücken,v1 h1,,8,3,14.0,1,,
Phase 6A,6,2025-04-14,A,Bankdrücken,Bankdrücken,v1 h1,,8,4,15.0,1,,
Phase 6A,6,2025-04-14,A,Bankdrücken,Bankdrücken,v1 h1,,8,5,15.5,1,,
Phase 6A,6,2025-04-14,A,Bankdrücken,Bankdrücken,v1 h1,,8,6,16.0,1,,
Phase 6A,6,2025-04-14,A,Beinbeugen,Beinbeugen,,,8,1,11.25,1,,
Phase 6A,6,2025-04-14,A,Beinbeugen,Beinbeugen,,,8,2,12.5,1,,
Phase 6A,6,2025-04-14,A,Beinbeugen,Beinbeugen,,,8,3,12.5,1,,
Phase 6A,6,2025-04-14,A,Beinbeugen,Beinbeugen,,,8,4,13.75,1,,
Phase 6A,6,2025-04-14,A,Beinbeugen,Beinbeugen,,,8,5,13.75,1,,
Phase 6A,6,2025-04-14,A,Beinbeugen,Beinbeugen,,,8,6,15.0,1,,
Phase 6A,6,2025-04-14,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,,8,1,37.5,2,,
Phase 6A,6,2025-04-14,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,,8,2,40.0,2,,
Phase 6A,6,2025-04-14,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,,8,3,42.5,2,,
Phase 6A,6,2025-04-14,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,,8,4,45.0,2,,
Phase 6A,6,2025-04-14,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,,8,5,47.5,2,,
Phase 6A,6,2025-04-14,A,Kniebeuge Ma.,Kniebeuge Maschine,mitte,,8,6,50.0,2,,
Phase 6A,6,2025-04-14,A,Latzug,Latzug,,,8,1,37.5,1,,
Phase 6A,6,2025-04-14,A,Latzug,Latzug,,,8,2,40.0,1,,
Phase 6A,6,2025-04-14,A,Latzug,Latzug,,,8,3,42.5,1,,
Phase 6A,6,2025-04-14,A,Latzug,Latzug,,,8,4,45.0,1,,
Phase 6A,6,2025-04-14,A,Latzug,Latzug,,,8,5,45.0,1,,
Phase 6A,6,2025-04-14,A,Latzug,Latzug,,,8,6,47.5,1,,
Phase 6A,6,2025-04-14,A,Schulterdrücken stehend,Schulterdrücken stehend,,,8,1,5.5,1,,
Phase 6A,6,2025-04-14,A,Schulterdrücken stehend,Schulterdrücken stehend,,,8,2,6.0,1,,
Phase 6A,6,2025-04-14,A,Schulterdrücken stehend,Schulterdrücken stehend,,,8,3,6.0,1,,
Phase 6A,6,2025-04-14,A,Schulterdrücken stehend,Schulterdrücken stehend,,,8,4,6.5,1,,
Phase 6A,6,2025-04-14,A,Schulterdrücken stehend,Schulterdrücken stehend,,,8,5,6.5,1,,
Phase 6A,6,2025-04-14,A,Schulterdrücken stehend,Schulterdrücken stehend,,,8,6,7.0,1,,
Phase 6A,6,2025-04-14,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,Pos. 3,,8,1,9.0,1,,
Phase 6A,6,2025-04-14,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,Pos. 3,,8,2,10.0,1,,
Phase 6A,6,2025-04-14,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,Pos. 3,,8,3,10.0,1,,
Phase 6A,6,2025-04-14,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,Pos. 3,,8,4,11.0,1,,
Phase 6A,6,2025-04-14,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,Pos. 3,,8,5,11.0,1,,
Phase 6A,6,2025-04-14,A,Trizepsdrücken Seilzug,Trizepsdrücken Seilzug,Pos. 3,,8,6,12.0,1,,
Phase 6A,6,2025-04-14,B,Beinpresse,Beinpresse,u8 o4,,6,1,80.0,2,,
Phase 6A,6,2025-04-14,B,Beinpresse,Beinpresse,u8 o4,,6,2,90.0,2,,
Phase 6A,6,2025-04-14,B,Beinpresse,Beinpresse,u8 o4,,6,3,100.0,2,,
Phase 6A,6,2025-04-14,B,Beinpresse,Beinpresse,u8 o4,,6,4,105.0,2,,
Phase 6A,6,2025-04-14,B,Beinpresse,Beinpresse,u8 o4,,6,5,110.0,2,,
Phase 6A,6,2025-04-14,B,Beinpresse,Beinpresse,u8 o4,,6,6,115.0,2,,
Phase 6A,6,2025-04-14,B,Bizepscurls,Bizepscurls,,,6,1,5.0,1,,
Phase 6A,6,2025-04-14,B,Bizepscurls,Bizepscurls,,,6,2,5.5,1,,
Phase 6A,6,2025-04-14,B,Bizepscurls,Bizepscurls,,,6,3,6.0,1,,
Phase 6A,6,2025-04-14,B,Bizepscurls,Bizepscurls,,,6,4,6.5,1,,
Phase 6A,6,2025-04-14,B,Bizepscurls,Bizepscurls,,,6,5,7.0,1,,
Phase 6A,6,2025-04-14,B,Bizepscurls,Bizepscurls,,,6,6,7.5,1,,
Phase 6A,6,2025-04-14,B,Butterfly reverse,Butterfly reverse,Pos. 9,,6,1,5.0,1,,
Phase 6A,6,2025-04-14,B,Butterfly reverse,Butterfly reverse,Pos. 9,,6,2,5.0,1,,
Phase 6A,6,2025-04-14,B,Butterfly reverse,Butterfly reverse,Pos. 9,,6,3,6.0,1,,
